Goi&aacute;s | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2019],Popula&ccedil;&atilde;o estimada - pessoas [2019],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2017],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2017],
Abadia de Goi&aacute;s,5200050,abadiense,ROMES GOMES E SILVA,147.256,8773,46.85,97.2,0.708,20.41,35644.53804,30190.8877,28506.69,
Abadi&acirc;nia,5200100,abadianense,JOSE APARECIDO ALVES DINIZ,1045.127,20042,15.08,94.3,0.689,19.61,45743.81048,40518.07995,16157.24,
Acre&uacute;na,5200134,acreunense,EDMAR OLIVEIRA ALVES NETO,1565.997,22366,12.95,97.1,0.686,14.76,69963.05917,64395.62778,30454.31,
Adel&acirc;ndia,5200159,adelandense,JOAQUIM DOS REIS PEREIRA,115.353,2516,21.47,100,0.702,27.78,12780.34678,11340.786,14123.19,
&Aacute;gua Fria de Goi&aacute;s,5200175,&aacute;gua-friense,JOS&Eacute; EDUARDO OLIVEIRA NETO,2029.416,5735,2.51,97.4,0.671,18.18,18592.62308,17048.44293,38994.18,
&Aacute;gua Limpa,5200209,&aacute;gua-limpense,VALDIR INACIO DO PRADO,452.858,1850,4.45,97.4,0.722,45.45,15934.6702,13860.20279,22564.81,
&Aacute;guas Lindas de Goi&aacute;s,5200258,&aacute;guas lindense,OSMARILDO ALVES DE SOUSA,192.392,212440,846.02,96.6,0.686,12.46,318867.71233,261959.13942,9108.33,
Alex&acirc;nia,5200308,alexaniense,ALLYSSON SILVA LIMA,847.893,27653,28.09,97,0.682,11.44,73422.68484,67957.2004,29187.12,
Alo&acirc;ndia,5200506,aloandense,SINOMAR JOSE DO CARMO,102.160,1995,20.08,98.1,0.697,-,13201.27554,10952.0547,18885.92,
Alto Horizonte,5200555,alto horizontino,LUIZ BORGES DA CRUZ,503.764,6414,8.94,97,0.719,20.83,69116.92295,54918.72124,119626.35,
Alto Para&iacute;so de Goi&aacute;s,5200605,alto-paraisense,MARTINHO MENDES DA SILVA,2593.904,7624,2.65,98,0.713,6.90,28163.12745,24889.05869,22025.32,
Alvorada do Norte,5200803,alvoradense,IOLANDA HOLICENI MOREIRA DOS SANTOS,1259.366,8660,6.42,98,0.660,22.06,29941.35374,25461.49669,13768.81,
Amaralina,5200829,amaralinense,VANDEILSON GON&Ccedil;ALVES LIMA,1343.237,3812,2.56,92.2,0.609,95.24,16252.58399,14383.88094,15707.04,
Americano do Brasil,5200852,americanense-do-Brasil,MARIA SUELI DA SILVA ROSA QUEIROZ,133.563,6111,41.24,97.4,0.700,35.71,14738.77499,13424.40813,10620.35,
Amorin&oacute;polis,5200902,amorinopolense,SILVIO ISAC DE SOUZA,408.525,3126,8.83,98.4,0.681,66.67,13814.4434,12717.50524,17195.68,
An&aacute;polis,5201108,anapolino,ROBERTO NAVES E SIQUEIRA,934.146,386923,358.58,96.3,0.737,12.42,1023805.91977,1030856.11056,37863.85,
Anhanguera,5201207,anhanguerino,FRANCISCO DA SILVA,55.839,1149,17.91,100,0.725,76.92,12037.81074,11096.04417,15278.41,
Anicuns,5201306,anicuense,JOSE JORGE DE SOUZA,975.331,21850,20.67,98.4,0.714,10.20,73589.95641,50672.12445,17725.31,
